str,en,ar,fr,es,vi,pt,it
reset_locale,Reset Saved Language,إعادة تعيين اللغة المحفوظة,Réinitialiser la langue enregistrée,Restablecer idioma guardado,Thiết lập lại lưu Ngôn ngữ,Redefinir a linguagem salva,Reset Lingua Salvata
home,Home,الرئيسية,Accueil,Inicio,Trang Chủ,Pagina inicial,Home
rate,Rate Us,قيمنا على المتجر,Notez-nous,Calificanos,Đánh giá chúng tôi,Nos avalie,Votaci
more_apps,More Apps,تطبيقات أخرى,Autres applications,Mas Apps,Các ứng dụng khác,Mais aplicativos,Più App
login,Login,تسجيل الدخول,Connexion,Iniciar sesión,Đăng nhập,Conecte-se,Accedi
signup,signup,إنشاء حساب,S’inscrire,Registrarse,đăng ký,inscrever-se,Registrati
privacy_policy,Privacy Policy,سياسة الخصوصية,Politique de\nconfidentialité,Política de privacidad,Chính sách bảo mật,Política de Privacidade,Privacy Policy
about,About,حول,à propos,Acerca de,Trong khoảng,Cerca de,Informazioni
rating_dialog,"We need your support 🤗
👇 Please Rate App 👇",نحن بحاجة إلى دعمكم 🤗\n 👇المرجو تقييمنا على المتجر👇,Nous avons besoin de votre support🤗\n👇N’hésitez pas à nous noter ! 👇,"Necesitamos tu apoyo 🤗\n👇 Por favor, califica la app 👇",Chúng tôi cần sự ủng hộ của bạn 🤗 \n👇 Hãy Rate App 👇,"Precisamos do seu apoio 🤗
👇 Por favor, avalie o aplicativo 👇",Ci serve il tuo supporto\n👇Per favore votaci 👇
disclaimer,Disclaimer,تنصل,Avertissement,Aviso legal,Disclaimer,Isenção de responsabilidade,Disclaimer
how_to_use,How to use,كيفية الإستعمال,Tutoriel,Como usar,Làm thế nào để sử dụng,Como usar,Come funziona
version,Version,إصدار,Version,Versión,Phiên bản,Versão,Versione
email,Email,البريد الإلكتروني,Email,Correo,E-mail,E-mail,Email
name,Name,الإسم,Nom,Nombre,Tên,Nome,Nome
username,Username,اسم المستخدم,Nom d’utilisateur,Nombre de usuario,tên tài khoản,Nome do usuário,Username
password,Password,كلمه السر,Mot de passe,Contraseña,Mật khẩu,Senha,Password
invalid_email,Invalid email,بريد إلكتروني خاطئ,Email incorrecte,Correo inválido,Email không hợp lệ,E-mail inválido,Email non valida
invalid_username,Invalid username,اسم مستخدم غير صحيح,Nom d’utilisateur incorrecte,Nombre de usuario inválido,Tên sử dụng không hợp lệ,Nome de usuário Inválido,Username non valido
password_is_too_short,Password is too short,كلمة المرور قصيرة جدا,votre mot de passe est trop court !,La contraseña es demasiado corta,Mật khẩu quá ngắn,A senha é muito curta,La password è troppo corta
confirm_Password,Confirm Password,تأكيد كلمة المرور,Confirmez le mot de passe,Confirmar contraseña,Xác nhận mật khẩu,Confirme a Senha,Conferma password
